SHEET_TYPE_TEXT,Max Num Of Chars,Dead Text,Hash Codes,,Languages,,,,,,,,,,,,,Output For All Levels,HT_File_Map_ab_cana,HT_File_Map_ab_cncl,HT_File_Map_ab_cin1,HT_File_Map_ab_cin2,HT_File_Map_ab_musm,HT_File_Map_ab_nrth,HT_File_Map_ab_sewr,HT_File_Map_ab_shop,HT_File_Map_ab_sth,HT_File_Map_ak_du6,HT_File_Map_hl_cp,HT_File_Map_hl_da2,HT_File_Map_hl_da3,HT_File_Map_hl_dng,HT_File_Map_hl_ext,HT_File_Map_hl_ws1,HT_File_Map_hl_ws2,HT_File_Map_hl_ws3,HT_File_Map_hl_rm1,HT_File_Map_lu_pala,HT_File_Map_lu_pyra,HT_File_Map_MG_Simon,HT_File_Map_mg_pairs,HT_File_Map_mg_shoot,HT_File_Map_mg_walls,HT_File_Map_mu_cast,HT_File_mum_eye,HT_File_mum_eyei,HT_File_mum_gebq,HT_File_Map_mu_htrn,HT_File_Map_mu_imp2,HT_File_mum_inch,HT_File_mum_jail,HT_File_mum_ldge,HT_File_mum_pala,HT_File_Map_mu_roto,HT_File_mum_sewr,HT_File_mum_towr,HT_File_mum_trch,HT_File_mum_trei,HT_File_mum_udng,HT_File_mum_well,HT_File_urk_4pat,HT_File_Map_ur_cast,HT_File_Map_ur_intr,HT_File_FrontEnd,HT_File_DemoMap,HT_File_Monster_Test,HT_File_Mummy_Test,HT_File_Map_cas_lowr,HT_File_BOSTest,,Game Data,,,Sound Information,,,
,,,,,English US,English UK,German,French,Spanish,Italian,Korean,Japan,Greek,Latvian,Brazilian,,,HT_TextSection01,HT_TextSection10,HT_TextSection11,HT_TextSection12,HT_TextSection13,HT_TextSection14,HT_TextSection15,HT_TextSection16,HT_TextSection17,HT_TextSection18,HT_TextSection19,HT_TextSection20,HT_TextSection21,HT_TextSection22,HT_TextSection23,HT_TextSection24,HT_TextSection25,HT_TextSection26,HT_TextSection27,HT_TextSection28,HT_TextSection29,HT_TextSection30,HT_TextSection31,HT_TextSection32,HT_TextSection33,HT_TextSection34,HT_TextSection35,HT_TextSection36,HT_TextSection37,HT_TextSection38,HT_TextSection39,HT_TextSection40,HT_TextSection41,HT_TextSection42,HT_TextSection43,HT_TextSection44,HT_TextSection45,HT_TextSection46,HT_TextSection47,HT_TextSection48,HT_TextSection49,HT_TextSection50,HT_TextSection51,HT_TextSection52,HT_TextSection53,HT_TextSection54,HT_TextSection55,HT_TextSection56,HT_TextSection57,HT_TextSection58,HT_TextSection59,HT_TextSection60,,,,,Wave Name,PS2 Name,,
MARKER_FORMAT_ROW,,,MARKER_HASHCODE,MARKER_LANGUAGE_START,MARKER_ENGLISH_US,MARKER_ENGLISH_UK,MARKER_GERMAN,MARKER_FRENCH,MARKER_SPANISH,MARKER_ITALIAN,MARKER_KOREAN,MARKER_JAPANESE,MARKER_GREEK,MARKER_LATVIAN,MARKER_BRAZILIAN,MARKER_LANGUAGE_END,MARKER_LEVEL_START,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,LEVEL,MARKER_LEVEL_END,MARKER_DATA_START,MARKER_DATA_END,MARKER_SOUND_START,STRING,HASHCODE,MARKER_SOUND_END,MARKER_END_OF_SHEET
M_TEXT_ALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M_MISC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,HT_Text_NeedSaltCrystal,,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,이 문을 열려면 소금 수정이 필요하다.<E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,You need a salt crystal to open this door. <E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,HT_Text_CanUseSaltCrystal,,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,이 문을 열려면 너의 소금 수정을 이용하라. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,Use your salt crystal to open this door. <E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,HT_Text_UsedSaltCrystal,,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,소금 수정이 사용되었다. <E>,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,Salt crystal used. <E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,HT_Text_TestText,,This is some text. <E>,This is some text. <E>,This is some text. <E>,This is some text. <E>,This is some text. <E>,This is some text. <E>,텍스트다. <E>,This is some text. <E>,This is some text. <E>,This is some text. <E>,This is some text. <E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,HT_Text_MKTest1,,Just a test <E>,Just a test <E>,Just a test <E>,Just a test <E>,Just a test <E>,Just a test <E>,테스트 용 <E>,Just a test <E>,Just a test <E>,Just a test <E>,Just a test <E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HT_Text_DanTest,,Dan's test text.<E>,Dan's test text.<E>,Dans Testtext.<E>,Test de Dan.<E>,Texto de prueba de Dan.<E>,Testo di prova di Dan.<E>,댄의 테스트용 텍스트<E>,**Dan's test text.<E>*,Hello there!<E>,Dana testa teksts.<E>,Texto de teste do Dan.<E>,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
